feature,importance
admiration_instructional_effectiveness,12.929966930562864
pride_instructional_effectiveness,6.276482577485472
annoyance_misc,5.772199477108122
disappointment_instructional_effectiveness,5.166312714589722
admiration_misc,4.6314311969753845
disapproval_instructional_effectiveness,4.0867607165565625
excitement_instructional_effectiveness,3.707771515754309
disappointment_misc,3.03275996795632
annoyance_instructional_effectiveness,2.525732225627197
disapproval_misc,2.3398738261672714
gratitude_instructional_effectiveness,1.9565419214925845
embarrassment_instructional_effectiveness,1.8489718679675347
anger_misc,1.8009004056190379
approval_workload,1.6937063325252502
anger_workload,1.6880224480729222
annoyance_workload,1.6239507426054742
disgust_instructional_effectiveness,1.5467773597170955
disgust_workload,1.2843216047565953
joy_instructional_effectiveness,1.2768755119429283
annoyance_fairness,1.2210094152489361
pride_misc,1.2195506653486528
disapproval_workload,1.182091227577702
anger_fairness,1.1670400337034912
anger_instructional_effectiveness,1.1238301498861294
confusion_instructional_effectiveness,1.0595449998514406
embarrassment_misc,1.0547071065164209
approval_instructional_effectiveness,0.9635079129229267
disappointment_workload,0.9594794478156168
admiration_workload,0.9385688074417624
sadness_workload,0.8801379942055222
disgust_misc,0.8038264655567028
excitement_misc,0.7833289264726679
approval_misc,0.6381533621212652
disappointment_fairness,0.6182963028807487
love_misc,0.6147075975031607
excitement_workload,0.5639608616942352
gratitude_misc,0.5621050308715569
love_instructional_effectiveness,0.538996852134317
joy_misc,0.5263460399106061
disapproval_fairness,0.5241010273452864
fear_misc,0.52389085539735
disgust_fairness,0.5021537799737952
pride_workload,0.5003111606340335
optimism_workload,0.4984178352559421
fear_instructional_effectiveness,0.46847947205490054
embarrassment_fairness,0.4667751138257915
realization_workload,0.4264838424799633
joy_workload,0.3956628470020074
caring_workload,0.37283755687219194
desire_workload,0.360841492545915
approval_fairness,0.3588596885157546
embarrassment_workload,0.3450149135971429
confusion_misc,0.3414502651665645
confusion_workload,0.3330652985349251
work_d,0.3155902521902871
surprise_instructional_effectiveness,0.30680267930805594
optimism_instructional_effectiveness,0.2996200075399793
realization_instructional_effectiveness,0.2872914311514043
love_workload,0.28352179119893933
nervousness_workload,0.27970011756744595
caring_instructional_effectiveness,0.26880762102979905
misc_d,0.2676057344689578
remorse_workload,0.2637582194193014
realization_misc,0.2630453276147574
gratitude_workload,0.26149565905390704
fear_workload,0.2577935047807297
surprise_workload,0.24997967719828
relief_workload,0.24795367663854326
curiosity_workload,0.23791674344511013
optimism_misc,0.2374636943856652
gratitude_fairness,0.23535615477805805
relief_instructional_effectiveness,0.2283255045526365
amusement_instructional_effectiveness,0.22209009994296156
sadness_misc,0.21185955630592032
grief_workload,0.20651196481858103
curiosity_instructional_effectiveness,0.20029173255042987
curiosity_misc,0.19985964386538735
relief_fairness,0.19856913350249264
remorse_instructional_effectiveness,0.19829459837074306
nervousness_fairness,0.19649308737967106
nervousness_instructional_effectiveness,0.1955430156246568
sadness_fairness,0.19455798715057201
joy_fairness,0.19331937690515072
desire_misc,0.1881906772333265
admiration_fairness,0.18713964628682603
realization_fairness,0.18423510098112206
sadness_instructional_effectiveness,0.18178529263820284
desire_instructional_effectiveness,0.1767334448036765
relief_misc,0.17623200514203968
amusement_misc,0.17060336364986925
surprise_fairness,0.1618840958341257
amusement_workload,0.15770313993077548
amusement_fairness,0.15730348893101914
remorse_fairness,0.1452792407451262
pride_fairness,0.14045253032068764
grief_instructional_effectiveness,0.13794477873476155
caring_misc,0.13660311351227097
curiosity_fairness,0.13085330283745214
remorse_misc,0.1296547392509005
eff_d,0.12892713693539462
fear_fairness,0.12283888251274563
optimism_fairness,0.12270732784310759
surprise_misc,0.12086602308568822
fair_d,0.11841077025583852
nervousness_misc,0.11269062445467835
confusion_fairness,0.1116715300673811
caring_fairness,0.10997814295837377
grief_fairness,0.10674687455780647
excitement_fairness,0.10157957885721271
grief_misc,0.1005074762524038
desire_fairness,0.07293222758335353
love_fairness,0.07123375871729354
