review_id,prof_ID,rating,review
38,544,5.0,"she was an excellent teacher! very organized. she encouraged class discussion, which made the class fun! had several papers to do which helped you to improve writing skills. could correct papers to have a better grade. she is also friendly and genuinely interested in student success. awesome all around!"
39,544,4.0,writing in her class was fun. i really liked how she would let students rewrite their papers till they got the grade they wanted. it certainly kept my grade up!
40,544,5.0,"jans has the most effective teaching style of any teacher i've met. the material can be difficult, but she makes it very easy to do well. you have a series of papers to write, if you get a bad score on them she will let you rewrite them for a better score. you can continue rewriting them until you get the score you want. well prepared, helpfull. a"
41,1122,1.5,this guy is a quack! you never understand what he is saying!
42,1122,2.5,warden's mind is sort of like a lottery ball machine... every now and then a ball will come firing out with a small piece of information but never in a sequential order. nice guy though.
43,1122,2.0,he likes to talk about his cat and diareha.
44,1122,1.5,could i despise this man anymore? his lectures are one random topic after another. he is always late and never knows when the class is over... partially because he doesn't wear a watch. lost every single one of my papers. truly awful waste of time.
45,1122,4.5,"the lectures are sleep inducing unless u participate, he gives lots of credit if u do. study sheets for quizzes, so u know what 2 expect. tests are do able if u read the material. 8 page paper at the end, i'm so sick of doing philau papers."
46,1122,5.0,"thinks too much, knows too much, but all in all hes a great person to work with. though sometimes it looks like its painful for him to teach.. all the sweat is a shame.."
47,1122,5.0,wonderful teacher!! he is kind and knows his stuff. take him if you can!
48,1122,5.0,"talks sooooooo much, zzzzz.. where am i?, but very down to earth, fair grader if u do the work, participate in class, it really really helps ur grade, so do it!"
49,155,3.0,i took his online class as an elective and regretted taking it by the end. the information is interesting but he is a tough grader. his tests were hard and very confusing.
50,155,3.0,"he gives quizzes that are hard to understand. the midterm and the final are a joke. the questions are twisted in such a way to just confuse you. which i think is his main goal. you will love the class and hate it at the end. most of my classmates agreed with me on this. good luck, you will need it!"
51,155,4.0,"best professor i've had at uvu. if you show up, pay attention, participate, and read you'll learn a lot and get a good grade."
52,155,5.0,"by far one of the best professors i've ever had. he doesn't give busy work and he consistently checks to make sure that you're understanding the materials. great professor, highly recommend."
53,155,5.0,bryan is awesome! he knows his stuff. he knows how to teach for understanding and how to make all subjects interesting. he expects quite a lot but is always there to help. i came out learning a ton and loving the subject.
54,155,4.5,"really good professor, knows what he's talking about. willing to work with you, tests kinda hard and expects a lot but makes it fun. if you pay attention you will do well in the class. has you make a language for this class as final project."
55,155,5.0,great teacher and fun class. two thumbs up and totally recommend this professor to others.
56,155,5.0,"take this class! bryan is the man! do the reading and the assignments and study for midterm and final and you'll be fine. 1st half is linguistics, which might be difficult for some, but he explains it well. work on your language creation project throughout the semester. great class! i loved class discussions and he includes everyone. take it!"
