iter	Passed	Remaining
611	5159	3271
612	5168	3262
613	5176	3254
614	5184	3245
615	5192	3237
616	5201	3228
617	5209	3219
618	5216	3210
619	5223	3201
620	5231	3192
621	5238	3183
622	5245	3174
623	5253	3165
624	5260	3156
625	5269	3148
626	5277	3139
627	5285	3130
628	5292	3121
629	5300	3112
630	5307	3103
631	5315	3095
632	5323	3086
633	5330	3077
634	5337	3068
635	5345	3059
636	5353	3050
637	5360	3041
638	5368	3032
639	5376	3024
640	5383	3015
641	5392	3006
642	5400	2998
643	5408	2989
644	5416	2981
645	5424	2972
646	5432	2963
647	5440	2955
648	5448	2946
649	5456	2937
650	5464	2929
651	5472	2920
652	5481	2912
653	5489	2904
654	5497	2895
655	5505	2887
656	5513	2878
657	5521	2869
658	5529	2861
659	5537	2852
660	5545	2844
661	5553	2835
662	5561	2827
663	5569	2818
664	5579	2810
665	5587	2802
666	5596	2794
667	5604	2785
668	5612	2776
669	5620	2768
670	5628	2759
671	5637	2751
672	5644	2742
673	5652	2734
674	5660	2725
675	5668	2717
676	5677	2708
677	5685	2700
678	5693	2691
679	5702	2683
680	5710	2675
681	5718	2666
682	5726	2657
683	5734	2649
684	5742	2640
685	5751	2632
686	5758	2623
687	5767	2615
688	5775	2606
689	5784	2598
690	5793	2590
691	5801	2582
692	5809	2573
693	5817	2565
694	5826	2556
695	5834	2548
696	5842	2539
697	5851	2531
698	5860	2523
699	5869	2515
700	5879	2507
701	5888	2499
702	5897	2491
703	5907	2483
704	5916	2475
705	5925	2467
706	5934	2459
707	5942	2451
708	5951	2442
709	5959	2434
710	5967	2425
711	5976	2417
712	5985	2409
713	5994	2401
714	6002	2392
715	6011	2384
716	6020	2376
717	6029	2368
718	6037	2359
719	6046	2351
720	6054	2342
721	6062	2334
722	6070	2325
723	6078	2317
724	6086	2308
725	6095	2300
726	6103	2291
727	6111	2283
728	6120	2275
729	6129	2267
730	6137	2258
731	6146	2250
732	6154	2241
733	6163	2233
734	6171	2225
735	6179	2216
736	6187	2208
737	6195	2199
738	6203	2190
739	6210	2182
740	6218	2173
741	6227	2165
742	6235	2156
743	6243	2148
744	6251	2139
745	6259	2131
746	6268	2122
747	6276	2114
748	6285	2106
749	6293	2097
750	6300	2089
751	6308	2080
752	6316	2072
753	6324	2063
754	6333	2055
755	6341	2046
756	6350	2038
757	6358	2030
758	6366	2021
759	6375	2013
760	6382	2004
761	6391	1996
762	6399	1987
763	6407	1979
764	6415	1970
765	6424	1962
766	6432	1953
767	6440	1945
768	6447	1936
769	6455	1928
770	6464	1919
771	6471	1911
772	6479	1902
773	6487	1894
774	6495	1885
775	6503	1877
776	6511	1868
777	6519	1860
778	6527	1851
779	6536	1843
780	6544	1835
781	6553	1826
782	6560	1818
783	6568	1809
784	6577	1801
785	6585	1792
786	6593	1784
787	6602	1776
788	6611	1768
789	6619	1759
790	6628	1751
791	6636	1742
792	6645	1734
793	6653	1726
794	6661	1717
795	6669	1709
796	6677	1700
797	6685	1692
798	6694	1684
799	6702	1675
800	6711	1667
801	6719	1658
802	6727	1650
803	6736	1642
804	6745	1633
805	6753	1625
806	6760	1616
807	6768	1608
808	6776	1599
809	6784	1591
810	6792	1582
811	6800	1574
812	6808	1565
813	6816	1557
814	6824	1549
815	6832	1540
816	6839	1532
817	6846	1523
818	6854	1514
819	6862	1506
820	6871	1498
821	6879	1489
822	6887	1481
823	6895	1472
824	6903	1464
825	6911	1455
826	6919	1447
827	6927	1438
828	6935	1430
829	6943	1422
830	6951	1413
831	6959	1405
832	6967	1396
833	6975	1388
834	6983	1379
835	6990	1371
836	6998	1362
837	7006	1354
838	7016	1346
839	7027	1338
840	7037	1330
841	7046	1322
842	7054	1313
843	7062	1305
844	7070	1296
845	7079	1288
846	7087	1280
847	7104	1273
848	7112	1265
849	7120	1256
850	7127	1247
851	7134	1239
852	7142	1230
853	7149	1222
854	7157	1213
855	7164	1205
856	7172	1196
857	7179	1188
858	7187	1179
859	7194	1171
860	7202	1162
861	7210	1154
862	7218	1145
863	7225	1137
864	7234	1129
865	7243	1120
866	7252	1112
867	7260	1104
868	7269	1095
869	7277	1087
870	7285	1079
871	7294	1070
872	7302	1062
873	7311	1053
874	7319	1045
875	7328	1037
876	7336	1028
