iter	MAE
194	0.6061323262
195	0.6058668319
196	0.6056205156
197	0.6053167756
198	0.6051011732
199	0.6047928343
200	0.6045359882
201	0.604282532
202	0.6040671626
203	0.6038230375
204	0.6036040386
205	0.6034165942
206	0.6032537137
207	0.6030413932
208	0.602780628
209	0.6025637058
210	0.6023034802
211	0.6021321826
212	0.6018951633
213	0.6016736513
214	0.6014545772
215	0.6012436707
216	0.6010771243
217	0.6008959299
218	0.6007311668
219	0.6005424817
220	0.6002935541
221	0.6001040745
222	0.5999286015
223	0.5997478601
224	0.5995831127
225	0.5993410139
226	0.5991611839
227	0.5990312567
228	0.5988527437
229	0.5986267917
230	0.5984352104
231	0.5982760756
232	0.5980896928
233	0.5979559527
234	0.5978013405
235	0.5976609364
236	0.5975182035
237	0.5972938322
238	0.5971660633
239	0.5969787879
240	0.5968154408
241	0.5966884577
242	0.5964924989
243	0.596306333
244	0.5961753475
245	0.5960479226
246	0.5958621148
247	0.5957026898
248	0.5955284226
249	0.5954050459
250	0.5952227118
251	0.5950495317
252	0.5948837873
253	0.5947356954
254	0.5945756717
255	0.5943480523
256	0.5942172679
257	0.5940562785
258	0.593906568
259	0.5937717456
260	0.5936226462
261	0.5934743945
262	0.593353675
263	0.5932081638
264	0.5930340008
265	0.5928777879
266	0.5927185495
267	0.5925836574
268	0.5924559295
269	0.5922876764
270	0.5921508136
271	0.5920423892
272	0.591879948
273	0.5917278005
274	0.591648005
275	0.5915472697
276	0.591382245
277	0.5913753321
278	0.5912430964
279	0.5910717945
280	0.5908832517
281	0.5907146608
282	0.5906154573
283	0.5904901818
284	0.5903577155
285	0.5902099997
286	0.5900285181
287	0.5898502255
288	0.5897351937
289	0.5896010118
290	0.5894134293
291	0.5893178879
292	0.5891348557
293	0.5890079429
294	0.5889127842
295	0.5887802072
296	0.5886012763
297	0.5884663178
298	0.5883028652
299	0.5881781163
300	0.5880591088
301	0.5879476263
302	0.5878743735
303	0.5877101562
304	0.5875885106
305	0.5874593301
306	0.5873029015
307	0.5871855169
308	0.5870625569
309	0.5869388656
310	0.5867814546
311	0.5866924143
312	0.5865972535
313	0.586449238
314	0.5863189315
315	0.586224985
316	0.5860558709
317	0.5859321628
318	0.5858623967
319	0.5857173386
320	0.5855735973
321	0.5854955067
322	0.5854212296
323	0.5852987258
324	0.5852106949
325	0.5850806965
326	0.5849921138
327	0.5848730431
328	0.5847336668
329	0.5846657051
330	0.5845271766
331	0.5843730021
332	0.5842908173
333	0.5841480257
334	0.5840470466
335	0.5839624333
336	0.5838245073
337	0.5836620434
338	0.5835507371
339	0.5834322413
340	0.583325025
341	0.583165853
342	0.5830100801
343	0.5828801979
344	0.5827435777
345	0.582605354
346	0.5824803217
347	0.5823835093
348	0.5822326161
349	0.5821464447
350	0.5820620864
351	0.5819094739
352	0.5817815675
353	0.5816556026
354	0.5815524682
355	0.5814742087
356	0.5813579054
357	0.5812178407
358	0.5811006656
359	0.5809750804
360	0.5808442891
361	0.5807110479
362	0.5806337206
363	0.5805438203
364	0.580462195
365	0.5803079837
366	0.5802424606
367	0.5801628194
368	0.5800853483
369	0.5800069203
370	0.5799017753
371	0.5797905365
372	0.5796634338
373	0.5795295529
374	0.5794425874
375	0.5793820829
376	0.5792253999
377	0.5791292585
378	0.579058737
379	0.5789964348
380	0.5788823655
381	0.578754337
382	0.5786545731
383	0.5785696883
384	0.5784846853
385	0.578395228
386	0.5782423336
387	0.5781275275
388	0.578038708
389	0.5779271014
390	0.5778079999
391	0.5777320316
392	0.5776139766
393	0.5775337264
394	0.5774177021
395	0.5773128556
396	0.5772366108
397	0.5771669214
398	0.5770654598
399	0.5769058918
400	0.5768065549
401	0.5767175651
402	0.5765958503
403	0.5765167963
404	0.5764552578
405	0.5763189816
406	0.5762089011
407	0.5761039604
408	0.5759953889
409	0.5758664
410	0.5757825041
411	0.5756702788
412	0.5755735894
413	0.575498264
414	0.5754074621
415	0.5753480683
416	0.5752386259
417	0.5751035316
418	0.5749857473
419	0.5748944453
420	0.574772885
421	0.5746955386
422	0.5745835099
423	0.574455788
424	0.574341245
425	0.574248993
426	0.5741808845
427	0.5740693929
428	0.5739952205
429	0.5738999836
430	0.5738071524
431	0.5736898632
432	0.5735895908
433	0.573507791
434	0.5734248744
435	0.5733613806
436	0.5732680356
437	0.5731710824
438	0.5731279602
439	0.5730433142
440	0.5729601755
441	0.572881822
442	0.5727844911
443	0.5726921598
444	0.5726409479
445	0.5725531247
446	0.572464406
447	0.5724153225
448	0.5723536864
449	0.5722851981
450	0.5721953668
451	0.5721274055
452	0.5720538898
453	0.5719324552
454	0.5718552034
455	0.5717734431
456	0.5716669011
457	0.571588898
458	0.5714767445
459	0.5713386296
460	0.5712500392
461	0.5711679953
462	0.5710256022
463	0.5709272046
464	0.5708488961
465	0.5707984626
466	0.5707163212
467	0.5706215496
468	0.5705537676
469	0.5704612213
470	0.5703296716
471	0.5702779318
472	0.570179046
473	0.5700919205
474	0.5700039842
475	0.5699258615
476	0.5698778709
477	0.5697707576
478	0.5696908029
479	0.5695957761
480	0.5695496672
481	0.569449353
482	0.569337004
483	0.5692485874
484	0.5691477751
485	0.5690677099
486	0.568964234
487	0.5688990692
488	0.5688023023
489	0.5687216878
490	0.5686148716
491	0.5685122753
492	0.5683769528
493	0.5682990086
494	0.5681953606
495	0.5681404487
496	0.5680069785
497	0.567894526
498	0.5678015131
499	0.5677346032
500	0.5676101915
501	0.5675390412
502	0.5674173941
503	0.5672639601
504	0.5671844091
505	0.5670189051
506	0.5669692168
507	0.5668805945
508	0.566800472
509	0.5666918081
510	0.5665721865
511	0.5664657028
512	0.566358621
513	0.5662780052
514	0.5661972682
515	0.5660764346
516	0.5659866609
517	0.5659384092
518	0.5658665697
519	0.5657900906
520	0.5656706432
521	0.5655980215
522	0.5655294657
523	0.5654311306
524	0.5653320999
525	0.5652057502
526	0.5651256569
527	0.5650607516
528	0.5649560381
529	0.5648343412
530	0.5647154367
531	0.5646348379
532	0.5645672039
533	0.5644830775
534	0.5644092503
535	0.5643306373
536	0.5642556865
537	0.5641802591
538	0.5640676128
539	0.5639664522
540	0.5638791112
541	0.5637165449
542	0.5635997562
543	0.5635021317
544	0.5634063182
545	0.5633134472
546	0.5632480095
547	0.563172835
548	0.5630820471
549	0.5630009775
550	0.562904754
551	0.5628091252
552	0.5627198837
553	0.562638886
554	0.5624797092
555	0.5623979043
556	0.5623172717
557	0.5622116748
558	0.5621288429
559	0.5620205196
560	0.5618719541
561	0.5618375124
562	0.56176711
563	0.5616656732
564	0.5615651582
565	0.561451965
566	0.561351819
567	0.5612516654
568	0.5611261944
569	0.5609957519
570	0.5609661046
571	0.5608701481
572	0.5607724298
573	0.5607006776
574	0.5605710147
575	0.5604676961
576	0.5603566117
577	0.5602667305
578	0.5601507325
579	0.5600671442
580	0.559953778
581	0.559849743
582	0.5597925788
583	0.5597049398
584	0.5596343824
585	0.5595298905
586	0.5594337794
587	0.5593236362
588	0.5592233695
589	0.5591524314
590	0.5590765361
591	0.5590020856
592	0.558920787
593	0.5588332349
594	0.5587529344
595	0.5586723611
596	0.5585557029
597	0.5584063187
598	0.5583160376
599	0.5582299956
600	0.558153503
601	0.5580380157
602	0.5579932328
603	0.5578771292
604	0.557813785
605	0.557726346
606	0.5576363429
607	0.5575168625
608	0.5574401365
609	0.5573425709
610	0.5572927962
611	0.5572060082
612	0.5570883899
613	0.5570139606
614	0.5568828129
615	0.5567587901
616	0.5566846198
617	0.5565586779
618	0.5564932909
619	0.5563034726
620	0.5562534354
621	0.5561983914
622	0.5561078303
623	0.556035085
624	0.555906745
625	0.5557637488
626	0.5556795913
627	0.5555828479
628	0.5554611214
629	0.555410027
630	0.5553050688
631	0.5551659634
632	0.5550419345
633	0.5549245561
634	0.5548810821
635	0.554840905
636	0.5547476762
637	0.5546506765
638	0.5545524109
639	0.5544958011
640	0.5544225985
641	0.554371521
642	0.5543197556
643	0.5542075287
644	0.5541435644
645	0.5540504942
646	0.5539816241
647	0.5539098666
648	0.5538055451
649	0.5536448841
650	0.5535350772
651	0.5534564129
652	0.5533634839
653	0.5532648075
654	0.5531587488
655	0.5530497355
656	0.5529627246
657	0.5528601861
658	0.5527732172
659	0.5527033157
660	0.552593388
661	0.5525030446
662	0.5524410995
663	0.552363213
664	0.5522827948
665	0.5522226003
666	0.5521215294
667	0.552017291
668	0.5519373917
669	0.5518370932
670	0.5517055824
671	0.5515964184
672	0.5515243676
673	0.5514228683
674	0.5513002951
675	0.5511978125
676	0.5511452171
677	0.5510022867
678	0.55091224
679	0.5507863363
680	0.5507298838
681	0.5506378404
682	0.5505156051
683	0.5504239188
684	0.5502565199
685	0.5501722853
686	0.5501034989
687	0.5500199416
688	0.5499695218
689	0.5498827965
690	0.5498281276
691	0.5497277955
692	0.549663708
693	0.5495905166
694	0.5494956182
695	0.5493582899
696	0.5492841712
697	0.5492281219
698	0.5491198377
699	0.5489906745
700	0.5489230353
701	0.5488272418
702	0.5487580983
703	0.5486554277
704	0.5485871572
705	0.5485137354
706	0.5484279176
707	0.5483576081
708	0.5482502727
709	0.5481200287
710	0.5479986413
711	0.5479121586
712	0.547860967
713	0.5478199744
714	0.5477524214
715	0.5476775055
716	0.5475800956
717	0.5474594787
718	0.5474137754
719	0.5473014884
720	0.5472288097
721	0.547144578
722	0.5470862328
723	0.5470156069
724	0.5468934452
725	0.5468105683
726	0.5466864392
727	0.5466231241
728	0.5465679509
729	0.5465077734
730	0.546459713
731	0.5463765929
732	0.5463147375
733	0.5462615658
734	0.5461940197
735	0.5461173691
736	0.5460400727
737	0.545978197
738	0.5459193726
739	0.5458414909
740	0.5457360451
741	0.5456452655
742	0.545605696
743	0.5455284637
744	0.5454339819
745	0.5453212533
746	0.5452137492
747	0.5450903161
748	0.5450389515
749	0.5449338468
750	0.5448904105
751	0.5448444525
752	0.544763686
753	0.5446999476
754	0.5446068361
755	0.544571427
756	0.5444820263
757	0.5444135462
758	0.5443191349
759	0.5441997769
760	0.5441042048
761	0.5440589137
762	0.5439094623
763	0.5438598534
764	0.5438030146
765	0.5437457937
766	0.5436324605
767	0.5434963557
768	0.5434260537
769	0.5433331398
770	0.5432593671
771	0.543173194
772	0.5430806713
773	0.5429940389
774	0.5428971421
775	0.5427940138
776	0.5427161886
777	0.542623683
778	0.542534584
779	0.5424406746
780	0.5423788658
781	0.5422800553
782	0.5422004669
783	0.542113477
784	0.5420539897
785	0.5419275345
786	0.5418420052
787	0.5417519104
788	0.5416758861
789	0.5415823875
790	0.5414909018
791	0.5413654835
792	0.5412909605
793	0.5412125933
794	0.541165911
795	0.5410059446
796	0.5408923956
797	0.540802773
798	0.5407135485
799	0.5406154402
800	0.5405560639
801	0.540487822
802	0.5403775013
803	0.5403084159
804	0.5402245995
805	0.5401332842
806	0.5400371569
807	0.5399529284
808	0.5398995389
809	0.5397767127
810	0.5397300958
811	0.5396445897
812	0.5395839722
813	0.5394995676
814	0.5394454109
815	0.539337828
816	0.5392007953
817	0.5391149163
818	0.5390554401
819	0.5389811863
820	0.5388597438
821	0.5387717749
822	0.5386817999
823	0.5386394102
824	0.5386006788
825	0.5384754988
826	0.5383837149
827	0.5383276652
828	0.5382623509
829	0.5381875043
830	0.5381314021
831	0.5380126328
832	0.5379162549
833	0.5378518878
834	0.5377453416
835	0.5376762142
836	0.5376136778
837	0.5374959459
838	0.5373854678
839	0.5373363651
840	0.5372604561
841	0.5371535058
842	0.5370690462
843	0.5370011145
844	0.5369198012
845	0.5368458732
846	0.5367640067
847	0.536682567
848	0.5366057683
849	0.5364977266
850	0.5364227265
851	0.5363732167
852	0.5362721527
853	0.5361976897
854	0.5361063515
855	0.53604853
856	0.535978614
857	0.5359110054
858	0.5358064892
859	0.5357271123
860	0.5356388997
861	0.5355875514
862	0.5355507006
863	0.5354428279
864	0.5353826886
865	0.5352826171
866	0.535178941
867	0.5350728505
868	0.5349819835
869	0.53491344
870	0.5347756977
871	0.5347207697
872	0.534639884
873	0.534579149
874	0.5344548312
875	0.5343652586
876	0.5343127619
877	0.5341848282
878	0.5340822106
879	0.5340294116
880	0.5338825231
881	0.5338033113
882	0.5336968434
883	0.5335992925
884	0.5335523311
885	0.5334668932
886	0.5333780151
887	0.5332940957
888	0.5331943506
889	0.53311361
890	0.5330147011
891	0.532935893
892	0.5328826165
893	0.532835657
894	0.5327452313
895	0.5326700587
896	0.5325973294
897	0.5325246103
898	0.5324028456
899	0.5323184295
900	0.5322119397
901	0.5320991438
902	0.5320237518
903	0.5319406569
904	0.5318231368
905	0.5317459506
906	0.531674402
907	0.531617789
908	0.5315422868
909	0.5314901455
910	0.5313996377
911	0.5313461933
912	0.5312919673
913	0.531170235
914	0.5310837673
915	0.5310067818
916	0.5309064786
917	0.5307755274
918	0.530626851
919	0.5305069457
920	0.53042632
921	0.5303323372
922	0.5302105988
923	0.5301658225
924	0.530137601
925	0.5300750072
926	0.530010257
927	0.5299217872
928	0.5298733575
929	0.5298090105
930	0.5297549469
931	0.5296767635
932	0.5295840119
933	0.5295155634
934	0.5294432363
935	0.529361978
936	0.5292000729
937	0.5291403275
938	0.529058662
939	0.5289697085
940	0.5289062455
941	0.5288090482
942	0.5287450706
943	0.5286882216
944	0.5285926648
945	0.5285375805
946	0.5284802099
947	0.5283829161
948	0.528340979
949	0.5282841062
950	0.5282147614
951	0.5281383829
952	0.5280929159
953	0.528016387
954	0.527920463
955	0.5278566326
956	0.5277711268
957	0.5277048124
958	0.5276299542
959	0.5275423745
960	0.5274743332
961	0.5273936744
962	0.5273085871
963	0.5272065061
964	0.5271300887
965	0.5270053885
966	0.5268929185
967	0.5268239302
968	0.5267634972
969	0.5266630568
970	0.5265569097
971	0.5264955762
972	0.5264285699
973	0.526362697
974	0.5262923522
975	0.5262296559
976	0.5261655717
977	0.526078275
978	0.5259814803
979	0.525894452
980	0.5257892876
981	0.5257158248
982	0.5256304506
983	0.5255504351
984	0.5255063645
985	0.5253933324
986	0.52530429
987	0.5252506915
988	0.5251840593
989	0.5250939156
990	0.5250419947
991	0.5249412386
992	0.5248456924
993	0.5247964875
994	0.5246879453
995	0.5246415563
996	0.5245615476
997	0.5245072718
998	0.5244008922
999	0.5243608806
