$s$,$\Delta^+$ Pearson $r$,$\Delta^+$ Spearman $\rho$,$\Delta^-$ Pearson $r$,$\Delta^-$ Spearman $\rho$
0.5,0.6764693624788259,0.5046337628193024,-0.6880316328525555,-0.5019583263093467
0.75,0.6837195458514193,0.5755630986333018,-0.7030565134740583,-0.5420620170663883
1.0,0.6872044557131117,0.6141944756333367,-0.707682339989028,-0.6001200095982698
1.25,0.6858378806637294,0.65566275601967,-0.7093823442776249,-0.6463891097330796
1.5,0.6768947555823901,0.6799975183513545,-0.7166760021891188,-0.6941920225333512
