condition,n_total,n_complete,n_missing,observed_agreement,expected_agreement,fleiss_kappa
Overall,77,76,1,0.8157894736842105,0.4714912280701754,0.6514522821576764
Coarse,43,43,0,0.9069767441860465,0.48632894657772974,0.8189050070191857
Fine,34,33,1,0.6969696969696969,0.4535251504948475,0.445481702763256
