metric,mean,sd,ci_lo,ci_hi
Δ+ vs D_misc (Pearson r),0.6854665051392864,0.01840937137934584,0.6493641221425551,0.7209860309047379
Δ- vs D_misc (Pearson r),-0.7079047756977951,0.018186643182661576,-0.7434127412029266,-0.6736117515067419
Δ+ vs D_misc (Spearman ρ),0.6143675854045365,0.027234417982860706,0.5646850773737472,0.6618821852644865
Δ- vs D_misc (Spearman ρ),-0.6013704500732738,0.025223116619478476,-0.6467835038750223,-0.558065671308464
Expert accuracy (overall),0.5670175438596491,0.3112639046935278,0.0,1.0
Expert accuracy (coarse),0.6518987341772151,0.33988211612502495,0.0,1.0
Expert accuracy (fine),0.43283582089552236,0.44292008298285956,0.0,1.0
