review_id,prof_ID,rating,misc_d,amusement_misc,comedy_intensity,funny_score,review
19181,798,5.0,0.67,0.1294882866290563,0.13078868933965382,0.08762842185756807,She has a very strange sense of humor but I found her very funny. She\'s very kind and always willing to help. I would definitely take her for other classes if I could.
11645,957,4.5,0.57,0.151544172387088,0.15247723394339607,0.08691202334773575,"I\'m really glad to have taken Spanish with Estrada. She gives too many handouts, but she\'s great! And she\'s pretty funny."
12443,890,4.5,0.68,0.1260353669225595,0.12649307881511002,0.08601529359427482,"this guy has the easiest job i have ever seen... but he is a cool guy though so i would take this course with him. all you have to do is walk laps the whole time and you will get an A. he sweats alot, and ive never seen him work out, i find it funny"
8863,20,3.0,0.55,0.1538541662930008,0.15510791398750465,0.08530935269312756,not as funny as Dr. Easteal. The class is super boring.
7025,247,3.0,0.56,0.1498961043593571,0.15104576392695054,0.08458562779909232,I think he\'s annoying. He can go from laughing hysterically one minute to mad and pissed the next. The course is easy but at lot of his instruction is unclear and contradictory.
13500,914,4.0,0.87,0.096942021258176,0.09717527242365005,0.08454248700857554,Great professor. It\'ll take you a couple weeks before you stop finding his voice funny.
19651,665,1.0,0.59,0.1377783938517268,0.13876613476963603,0.08187201951408525,He is incredibly boring. We cannot pay attention in class because he can\'t keep it. We spend most of our time making fun of his receding hairline.
14812,939,4.5,0.62,0.1308201835946442,0.13130570645372372,0.0814095380013087,"Super friendly man, very approachable and excellent with explaining things on the lower level... And not too shabby to look at either.. hehe"
13293,743,5.0,0.57,0.1411225149733292,0.1415812499689396,0.08070131248229556,"i thought she would be demanding because on the first day she said she was a tough teacher! i\'m not flexible, but as the class went on, all her threats were jokes and everyone just laughs and jokes with her. she turned out to be the best fitness teacher i\'ve ever had! she doesnt push you past your limits, and she has alt poses if you cant do a pose"
3650,889,2.0,0.55,0.124066708228633,0.14656301816662035,0.0806096599916412,"Dr. Neal was very funny. He is sorta awkward and nerdy, but in a good way. I enjoyed his class, becasue he was funny to be around, but he wasn\'t a very good teacher. I had a very strong calc. backround, and still had no freaking clue what he was ever talking about."
17342,1052,5.0,0.53,0.1464860289458903,0.14747991767990418,0.07816435637034921,"Professor Ghorashi is an awesome guy. He asks about what news is going on and lets us discuss it for a while and then says well, I\'ll go into economics now. He\'s really funny and his sense of humor is awesome. If you show up and take notes and listen, the quizzes are easy. No textbook needed. He also encourages questions because his accent is heavy"
13046,598,5.0,0.5,0.1490090539970772,0.1522630561533169,0.07613152807665845,Very nice and extra helpful. Did fun stuff like improv and lots of movies. Best professor Ive had.
15946,413,5.0,0.63,0.1181093685266187,0.11857170372877701,0.07470017334912951,"He is so easy, funny, and laid back. If you\'re not into English, I recommend taking him. He\'s not uptight and has street smarts unlike some professors."
8341,1277,1.0,0.51,0.1457574193491216,0.14629891577268608,0.0746124470440699,"If you are bad at math just do not take his class at all. He is a nice guy, tries to be funny and joke around. But as a professor he is just horrible. he cannot speak English properly, he knows math, just cant explain it. He does not like confrontation either, if you talk to him about something he will take it personal and make your life hell."
7497,42,4.5,0.69,0.1027867309284614,0.10733956156518829,0.0740642974799799,"Andy\'s one freaking awesome English teacher! 191 is designed to allow you to use and experiment with different kinds of media and Andy asks you to do all of these... butt crazy things that you don\'t really understand why you\'re doing it, but at least it was fun and unpredictable! Workload is kinda heavy, but if you keep up with it, you\'ll do well."
823,500,5.0,0.5,0.0895179087548641,0.14664351836483133,0.07332175918241567,"AMAZING!!! i love this professor he is so much fun, helpful and easy. you really gonna learn hebrew with him in the fun way!"
